time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
0,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
0,UAV_01,RELAY,UAV,-1334785.4,5327184.2,3233672.4,10.0.0.2,88.6,100.0
0,UAV_02,RELAY,UAV,-1334635.1,5327960.0,3232464.7,10.0.0.3,103.3,100.0
0,UAV_03,RELAY,UAV,-1332818.7,5327724.7,3233594.4,10.0.0.4,177.2,100.0
100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
100,UAV_01,RELAY,UAV,-1334786.8,5327183.7,3233672.7,10.0.0.2,64.1,100.0
100,UAV_02,RELAY,UAV,-1334636.6,5327959.8,3232464.4,10.0.0.3,103.3,100.0
100,UAV_03,RELAY,UAV,-1332819.0,5327725.5,3233593.1,10.0.0.4,177.2,100.0
200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
200,UAV_01,RELAY,UAV,-1334787.8,5327183.0,3233673.5,10.0.0.2,40.6,100.0
200,UAV_02,RELAY,UAV,-1334638.0,5327959.6,3232464.1,10.0.0.3,103.3,100.0
200,UAV_03,RELAY,UAV,-1332819.2,5327726.2,3233591.8,10.0.0.4,177.2,100.0
300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
300,UAV_01,RELAY,UAV,-1334788.4,5327182.1,3233674.7,10.0.0.2,18.8,100.0
300,UAV_02,RELAY,UAV,-1334639.5,5327959.4,3232463.8,10.0.0.3,103.3,100.0
300,UAV_03,RELAY,UAV,-1332819.5,5327726.9,3233590.5,10.0.0.4,177.2,100.0
400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
400,UAV_01,RELAY,UAV,-1334788.4,5327181.4,3233675.9,10.0.0.2,0.7,100.0
400,UAV_02,RELAY,UAV,-1334640.9,5327959.2,3232463.5,10.0.0.3,103.3,100.0
400,UAV_03,RELAY,UAV,-1332819.7,5327727.6,3233589.2,10.0.0.4,177.2,100.0
500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
500,UAV_01,RELAY,UAV,-1334788.1,5327180.7,3233677.2,10.0.0.2,346.0,100.0
500,UAV_02,RELAY,UAV,-1334642.4,5327959.0,3232463.2,10.0.0.3,103.3,100.0
500,UAV_03,RELAY,UAV,-1332820.0,5327728.3,3233587.9,10.0.0.4,177.2,100.0
600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
600,UAV_01,RELAY,UAV,-1334787.4,5327180.1,3233678.4,10.0.0.2,334.0,99.9
600,UAV_02,RELAY,UAV,-1334643.8,5327958.8,3232462.9,10.0.0.3,103.3,99.9
600,UAV_03,RELAY,UAV,-1332820.3,5327729.1,3233586.6,10.0.0.4,177.2,99.9
700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
700,UAV_01,RELAY,UAV,-1334786.5,5327179.7,3233679.5,10.0.0.2,322.5,99.9
700,UAV_02,RELAY,UAV,-1334645.3,5327958.7,3232462.6,10.0.0.3,103.3,99.9
700,UAV_03,RELAY,UAV,-1332820.5,5327729.8,3233585.3,10.0.0.4,177.2,99.9
800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
800,UAV_01,RELAY,UAV,-1334785.3,5327179.4,3233680.4,10.0.0.2,311.4,99.9
800,UAV_02,RELAY,UAV,-1334646.8,5327958.5,3232462.3,10.0.0.3,103.3,99.9
800,UAV_03,RELAY,UAV,-1332820.8,5327730.5,3233584.1,10.0.0.4,177.2,99.9
900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
900,UAV_01,RELAY,UAV,-1334784.1,5327179.2,3233681.2,10.0.0.2,302.4,99.9
900,UAV_02,RELAY,UAV,-1334648.2,5327958.3,3232462.1,10.0.0.3,103.3,99.9
900,UAV_03,RELAY,UAV,-1332821.0,5327731.2,3233582.8,10.0.0.4,177.2,99.9
1000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
1000,UAV_01,RELAY,UAV,-1334782.7,5327179.2,3233681.8,10.0.0.2,293.6,99.9
1000,UAV_02,RELAY,UAV,-1334649.7,5327958.1,3232461.8,10.0.0.3,103.3,99.9
1000,UAV_03,RELAY,UAV,-1332821.3,5327732.0,3233581.5,10.0.0.4,177.2,99.9
1100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
1100,UAV_01,RELAY,UAV,-1334781.3,5327179.3,3233682.2,10.0.0.2,285.1,99.9
1100,UAV_02,RELAY,UAV,-1334651.1,5327957.9,3232461.5,10.0.0.3,103.3,99.9
1100,UAV_03,RELAY,UAV,-1332821.5,5327732.7,3233580.2,10.0.0.4,177.2,99.9
1200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
1200,UAV_01,RELAY,UAV,-1334779.8,5327179.5,3233682.4,10.0.0.2,276.7,99.9
1200,UAV_02,RELAY,UAV,-1334652.6,5327957.7,3232461.2,10.0.0.3,103.3,99.9
1200,UAV_03,RELAY,UAV,-1332821.8,5327733.4,3233578.9,10.0.0.4,177.2,99.9
1300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
1300,UAV_01,RELAY,UAV,-1334778.3,5327179.9,3233682.5,10.0.0.2,270.0,99.9
1300,UAV_02,RELAY,UAV,-1334654.1,5327957.6,3232460.9,10.0.0.3,103.3,99.9
1300,UAV_03,RELAY,UAV,-1332822.1,5327734.1,3233577.6,10.0.0.4,177.2,99.9
1400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
