time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
540000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540000,UAV_01,RELAY,UAV,-1335100.8,5327127.2,3233636.4,10.0.0.2,9.1,46.0
540000,UAV_02,RELAY,UAV,-1333702.5,5327892.9,3232956.8,10.0.0.3,145.6,46.0
540000,UAV_03,RELAY,UAV,-1335921.5,5326085.9,3235004.0,10.0.0.4,311.7,46.0
540100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540100,UAV_01,RELAY,UAV,-1335100.8,5327126.4,3233637.7,10.0.0.2,7.8,46.0
540100,UAV_02,RELAY,UAV,-1333703.5,5327893.3,3232955.7,10.0.0.3,145.6,46.0
540100,UAV_03,RELAY,UAV,-1335920.3,5326085.6,3235004.9,10.0.0.4,311.7,46.0
540200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540200,UAV_01,RELAY,UAV,-1335100.8,5327125.7,3233639.0,10.0.0.2,7.8,46.0
540200,UAV_02,RELAY,UAV,-1333704.5,5327893.7,3232954.6,10.0.0.3,145.6,46.0
540200,UAV_03,RELAY,UAV,-1335919.1,5326085.4,3235005.7,10.0.0.4,311.7,46.0
540300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540300,UAV_01,RELAY,UAV,-1335100.8,5327124.9,3233640.3,10.0.0.2,7.8,46.0
540300,UAV_02,RELAY,UAV,-1333705.4,5327894.1,3232953.6,10.0.0.3,145.6,46.0
540300,UAV_03,RELAY,UAV,-1335917.9,5326085.2,3235006.6,10.0.0.4,311.7,46.0
540400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540400,UAV_01,RELAY,UAV,-1335100.8,5327124.1,3233641.5,10.0.0.2,7.8,46.0
540400,UAV_02,RELAY,UAV,-1333706.4,5327894.6,3232952.5,10.0.0.3,145.6,46.0
540400,UAV_03,RELAY,UAV,-1335916.7,5326085.0,3235007.4,10.0.0.4,311.7,46.0
540500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540500,UAV_01,RELAY,UAV,-1335100.9,5327123.3,3233642.8,10.0.0.2,7.8,45.9
540500,UAV_02,RELAY,UAV,-1333707.4,5327895.0,3232951.4,10.0.0.3,145.6,45.9
540500,UAV_03,RELAY,UAV,-1335915.5,5326084.7,3235008.3,10.0.0.4,311.7,45.9
540600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540600,UAV_01,RELAY,UAV,-1335100.9,5327122.5,3233644.1,10.0.0.2,6.4,45.9
540600,UAV_02,RELAY,UAV,-1333708.4,5327895.4,3232950.4,10.0.0.3,145.6,45.9
540600,UAV_03,RELAY,UAV,-1335914.2,5326084.5,3235009.2,10.0.0.4,311.7,45.9
540700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540700,UAV_01,RELAY,UAV,-1335100.8,5327121.7,3233645.4,10.0.0.2,6.4,45.9
540700,UAV_02,RELAY,UAV,-1333709.3,5327895.8,3232949.3,10.0.0.3,145.6,45.9
540700,UAV_03,RELAY,UAV,-1335913.0,5326084.3,3235010.0,10.0.0.4,311.7,45.9
540800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
540800,UAV_01,RELAY,UAV,-1335100.8,5327121.0,3233646.7,10.0.0.2,6.4,45.9
