time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
480000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480000,UAV_01,RELAY,UAV,-1334498.6,5327278.2,3233636.3,10.0.0.2,172.8,52.0
480000,UAV_02,RELAY,UAV,-1333352.6,5327534.0,3233687.5,10.0.0.3,181.4,52.0
480000,UAV_03,RELAY,UAV,-1336518.4,5326316.7,3234381.5,10.0.0.4,336.4,52.0
480100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480100,UAV_01,RELAY,UAV,-1334499.0,5327278.9,3233635.0,10.0.0.2,172.8,52.0
480100,UAV_02,RELAY,UAV,-1333352.8,5327534.8,3233686.2,10.0.0.3,181.4,52.0
480100,UAV_03,RELAY,UAV,-1336517.7,5326316.2,3234382.7,10.0.0.4,336.4,52.0
480200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480200,UAV_01,RELAY,UAV,-1334499.3,5327279.6,3233633.7,10.0.0.2,172.8,52.0
480200,UAV_02,RELAY,UAV,-1333352.9,5327535.5,3233684.9,10.0.0.3,181.4,52.0
480200,UAV_03,RELAY,UAV,-1336516.9,5326315.6,3234383.8,10.0.0.4,336.4,52.0
480300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480300,UAV_01,RELAY,UAV,-1334499.7,5327280.3,3233632.5,10.0.0.2,172.8,52.0
480300,UAV_02,RELAY,UAV,-1333353.1,5327536.3,3233683.6,10.0.0.3,181.4,52.0
480300,UAV_03,RELAY,UAV,-1336516.2,5326315.1,3234385.0,10.0.0.4,336.4,52.0
480400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480400,UAV_01,RELAY,UAV,-1334500.1,5327281.0,3233631.2,10.0.0.2,171.5,52.0
480400,UAV_02,RELAY,UAV,-1333353.2,5327537.0,3233682.3,10.0.0.3,181.4,52.0
480400,UAV_03,RELAY,UAV,-1336515.4,5326314.6,3234386.2,10.0.0.4,336.4,52.0
480500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480500,UAV_01,RELAY,UAV,-1334500.5,5327281.6,3233629.9,10.0.0.2,171.5,51.9
480500,UAV_02,RELAY,UAV,-1333353.4,5327537.8,3233681.0,10.0.0.3,180.0,51.9
480500,UAV_03,RELAY,UAV,-1336514.7,5326314.0,3234387.4,10.0.0.4,336.4,51.9
480600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480600,UAV_01,RELAY,UAV,-1334500.9,5327282.3,3233628.6,10.0.0.2,171.5,51.9
480600,UAV_02,RELAY,UAV,-1333353.6,5327538.5,3233679.8,10.0.0.3,180.0,51.9
480600,UAV_03,RELAY,UAV,-1336513.9,5326313.5,3234388.6,10.0.0.4,336.4,51.9
480700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480700,UAV_01,RELAY,UAV,-1334501.3,5327283.0,3233627.3,10.0.0.2,171.5,51.9
480700,UAV_02,RELAY,UAV,-1333353.8,5327539.3,3233678.5,10.0.0.3,180.0,51.9
480700,UAV_03,RELAY,UAV,-1336513.2,5326313.0,3234389.8,10.0.0.4,336.4,51.9
480800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480800,UAV_01,RELAY,UAV,-1334501.7,5327283.7,3233626.1,10.0.0.2,171.5,51.9
480800,UAV_02,RELAY,UAV,-1333353.9,5327540.0,3233677.2,10.0.0.3,180.0,51.9
480800,UAV_03,RELAY,UAV,-1336512.4,5326312.4,3234390.9,10.0.0.4,336.4,51.9
480900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
480900,UAV_01,RELAY,UAV,-1334502.1,5327284.4,3233624.8,10.0.0.2,170.1,51.9
480900,UAV_02,RELAY,UAV,-1333354.1,5327540.8,3233675.9,10.0.0.3,180.0,51.9
480900,UAV_03,RELAY,UAV,-1336511.7,5326311.9,3234392.1,10.0.0.4,336.4,51.9
