time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
240000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240000,UAV_01,RELAY,UAV,-1334679.7,5327106.8,3233842.6,10.0.0.2,248.2,76.0
240000,UAV_02,RELAY,UAV,-1335776.4,5326456.0,3234457.8,10.0.0.3,321.6,76.0
240000,UAV_03,RELAY,UAV,-1335491.7,5328057.2,3231954.4,10.0.0.4,76.8,76.0
240100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240100,UAV_01,RELAY,UAV,-1334678.4,5327107.4,3233842.1,10.0.0.2,248.2,76.0
240100,UAV_02,RELAY,UAV,-1335775.4,5326455.6,3234458.8,10.0.0.3,321.6,76.0
240100,UAV_03,RELAY,UAV,-1335493.0,5328056.6,3231954.7,10.0.0.4,76.8,76.0
240200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240200,UAV_01,RELAY,UAV,-1334677.2,5327108.0,3233841.6,10.0.0.2,248.2,76.0
240200,UAV_02,RELAY,UAV,-1335774.3,5326455.3,3234459.8,10.0.0.3,321.6,76.0
240200,UAV_03,RELAY,UAV,-1335494.4,5328056.1,3231955.0,10.0.0.4,76.8,76.0
240300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240300,UAV_01,RELAY,UAV,-1334675.9,5327108.6,3233841.1,10.0.0.2,248.2,76.0
240300,UAV_02,RELAY,UAV,-1335773.3,5326454.9,3234460.8,10.0.0.3,321.6,76.0
240300,UAV_03,RELAY,UAV,-1335495.8,5328055.6,3231955.3,10.0.0.4,76.8,76.0
240400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240400,UAV_01,RELAY,UAV,-1334674.6,5327109.2,3233840.6,10.0.0.2,246.8,76.0
240400,UAV_02,RELAY,UAV,-1335772.2,5326454.6,3234461.8,10.0.0.3,321.6,76.0
240400,UAV_03,RELAY,UAV,-1335497.2,5328055.1,3231955.6,10.0.0.4,76.8,76.0
240500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240500,UAV_01,RELAY,UAV,-1334673.4,5327109.9,3233840.1,10.0.0.2,246.8,76.0
240500,UAV_02,RELAY,UAV,-1335771.2,5326454.2,3234462.8,10.0.0.3,321.6,76.0
240500,UAV_03,RELAY,UAV,-1335498.5,5328054.5,3231955.9,10.0.0.4,76.8,76.0
240600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240600,UAV_01,RELAY,UAV,-1334672.1,5327110.5,3233839.6,10.0.0.2,246.8,75.9
240600,UAV_02,RELAY,UAV,-1335770.1,5326453.9,3234463.9,10.0.0.3,321.6,75.9
240600,UAV_03,RELAY,UAV,-1335499.9,5328054.0,3231956.2,10.0.0.4,76.8,75.9
240700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240700,UAV_01,RELAY,UAV,-1334670.8,5327111.1,3233839.1,10.0.0.2,245.4,75.9
240700,UAV_02,RELAY,UAV,-1335769.1,5326453.5,3234464.9,10.0.0.3,321.6,75.9
240700,UAV_03,RELAY,UAV,-1335501.3,5328053.5,3231956.5,10.0.0.4,76.8,75.9
240800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240800,UAV_01,RELAY,UAV,-1334669.6,5327111.7,3233838.6,10.0.0.2,245.4,75.9
240800,UAV_02,RELAY,UAV,-1335768.0,5326453.2,3234465.9,10.0.0.3,321.6,75.9
240800,UAV_03,RELAY,UAV,-1335502.7,5328053.0,3231956.8,10.0.0.4,76.8,75.9
240900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
240900,UAV_01,RELAY,UAV,-1334668.3,5327112.4,3233838.0,10.0.0.2,245.4,75.9
240900,UAV_02,RELAY,UAV,-1335767.0,5326452.8,3234466.9,10.0.0.3,321.6,75.9
240900,UAV_03,RELAY,UAV,-1335504.0,5328052.4,3231957.1,10.0.0.4,76.8,75.9
241000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
241000,UAV_01,RELAY,UAV,-1334667.1,5327113.0,3233837.5,10.0.0.2,245.4,75.9
