time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
120000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120000,UAV_01,RELAY,UAV,-1334804.8,5327259.1,3233542.1,10.0.0.2,92.7,88.0
120000,UAV_02,RELAY,UAV,-1336073.2,5327267.4,3233008.3,10.0.0.3,31.8,88.0
120000,UAV_03,RELAY,UAV,-1333793.3,5328292.2,3232266.2,10.0.0.4,127.7,88.0
120100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120100,UAV_01,RELAY,UAV,-1334806.2,5327258.7,3233542.0,10.0.0.2,91.3,88.0
120100,UAV_02,RELAY,UAV,-1336073.8,5327266.6,3233009.4,10.0.0.3,31.8,88.0
120100,UAV_03,RELAY,UAV,-1333794.6,5328292.4,3232265.4,10.0.0.4,127.7,88.0
120200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120200,UAV_01,RELAY,UAV,-1334807.7,5327258.4,3233542.0,10.0.0.2,91.3,88.0
120200,UAV_02,RELAY,UAV,-1336074.4,5327265.8,3233010.5,10.0.0.3,31.8,88.0
120200,UAV_03,RELAY,UAV,-1333795.8,5328292.5,3232264.6,10.0.0.4,127.7,88.0
120300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120300,UAV_01,RELAY,UAV,-1334809.2,5327258.0,3233542.0,10.0.0.2,90.0,88.0
120300,UAV_02,RELAY,UAV,-1336075.0,5327264.9,3233011.6,10.0.0.3,31.8,88.0
120300,UAV_03,RELAY,UAV,-1333797.1,5328292.7,3232263.8,10.0.0.4,127.7,88.0
120400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120400,UAV_01,RELAY,UAV,-1334810.6,5327257.7,3233542.0,10.0.0.2,90.0,88.0
120400,UAV_02,RELAY,UAV,-1336075.6,5327264.1,3233012.7,10.0.0.3,31.8,88.0
120400,UAV_03,RELAY,UAV,-1333798.4,5328292.8,3232263.0,10.0.0.4,126.3,88.0
120500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120500,UAV_01,RELAY,UAV,-1334812.1,5327257.3,3233542.0,10.0.0.2,90.0,88.0
120500,UAV_02,RELAY,UAV,-1336076.2,5327263.3,3233013.8,10.0.0.3,31.8,88.0
120500,UAV_03,RELAY,UAV,-1333799.6,5328293.0,3232262.3,10.0.0.4,126.3,88.0
120600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120600,UAV_01,RELAY,UAV,-1334813.5,5327256.9,3233542.0,10.0.0.2,88.6,87.9
120600,UAV_02,RELAY,UAV,-1336076.8,5327262.5,3233014.9,10.0.0.3,31.8,87.9
120600,UAV_03,RELAY,UAV,-1333800.9,5328293.1,3232261.5,10.0.0.4,126.3,87.9
120700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120700,UAV_01,RELAY,UAV,-1334815.0,5327256.5,3233542.0,10.0.0.2,88.6,87.9
120700,UAV_02,RELAY,UAV,-1336077.4,5327261.6,3233016.0,10.0.0.3,31.8,87.9
120700,UAV_03,RELAY,UAV,-1333802.2,5328293.3,3232260.7,10.0.0.4,126.3,87.9
120800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120800,UAV_01,RELAY,UAV,-1334816.4,5327256.1,3233542.1,10.0.0.2,87.2,87.9
120800,UAV_02,RELAY,UAV,-1336078.1,5327260.8,3233017.1,10.0.0.3,31.8,87.9
120800,UAV_03,RELAY,UAV,-1333803.5,5328293.4,3232260.0,10.0.0.4,126.3,87.9
120900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
120900,UAV_01,RELAY,UAV,-1334817.9,5327255.7,3233542.1,10.0.0.2,87.2,87.9
120900,UAV_02,RELAY,UAV,-1336078.7,5327260.0,3233018.2,10.0.0.3,31.8,87.9
120900,UAV_03,RELAY,UAV,-1333804.8,5328293.6,3232259.2,10.0.0.4,126.3,87.9
121000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
121000,UAV_01,RELAY,UAV,-1334819.3,5327255.3,3233542.2,10.0.0.2,87.2,87.9
