time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
180000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180000,UAV_01,RELAY,UAV,-1334652.3,5327274.5,3233579.3,10.0.0.2,147.0,82.0
180000,UAV_02,RELAY,UAV,-1336184.1,5326789.1,3233745.5,10.0.0.3,357.4,82.0
180000,UAV_03,RELAY,UAV,-1334626.8,5328278.6,3231946.7,10.0.0.4,101.6,82.0
180100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180100,UAV_01,RELAY,UAV,-1334653.3,5327274.9,3233578.2,10.0.0.2,145.6,82.0
180100,UAV_02,RELAY,UAV,-1336183.9,5326788.4,3233746.8,10.0.0.3,357.4,82.0
180100,UAV_03,RELAY,UAV,-1334628.3,5328278.4,3231946.4,10.0.0.4,101.6,82.0
180200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180200,UAV_01,RELAY,UAV,-1334654.3,5327275.3,3233577.2,10.0.0.2,145.6,82.0
180200,UAV_02,RELAY,UAV,-1336183.6,5326787.7,3233748.1,10.0.0.3,357.4,82.0
180200,UAV_03,RELAY,UAV,-1334629.8,5328278.2,3231946.2,10.0.0.4,101.6,82.0
180300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180300,UAV_01,RELAY,UAV,-1334655.2,5327275.7,3233576.1,10.0.0.2,145.6,82.0
180300,UAV_02,RELAY,UAV,-1336183.4,5326787.0,3233749.4,10.0.0.3,357.4,82.0
180300,UAV_03,RELAY,UAV,-1334631.2,5328278.0,3231945.9,10.0.0.4,101.6,82.0
180400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180400,UAV_01,RELAY,UAV,-1334656.2,5327276.1,3233575.1,10.0.0.2,144.2,82.0
180400,UAV_02,RELAY,UAV,-1336183.1,5326786.2,3233750.6,10.0.0.3,356.0,82.0
180400,UAV_03,RELAY,UAV,-1334632.7,5328277.7,3231945.7,10.0.0.4,101.6,82.0
180500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180500,UAV_01,RELAY,UAV,-1334657.2,5327276.5,3233574.0,10.0.0.2,144.2,82.0
180500,UAV_02,RELAY,UAV,-1336182.8,5326785.5,3233751.9,10.0.0.3,356.0,82.0
180500,UAV_03,RELAY,UAV,-1334634.1,5328277.5,3231945.4,10.0.0.4,101.6,82.0
180600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180600,UAV_01,RELAY,UAV,-1334658.2,5327276.9,3233573.0,10.0.0.2,144.2,81.9
180600,UAV_02,RELAY,UAV,-1336182.5,5326784.8,3233753.2,10.0.0.3,356.0,81.9
180600,UAV_03,RELAY,UAV,-1334635.6,5328277.3,3231945.2,10.0.0.4,101.6,81.9
180700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180700,UAV_01,RELAY,UAV,-1334659.3,5327277.3,3233571.9,10.0.0.2,142.9,81.9
180700,UAV_02,RELAY,UAV,-1336182.2,5326784.1,3233754.5,10.0.0.3,356.0,81.9
180700,UAV_03,RELAY,UAV,-1334637.1,5328277.1,3231944.9,10.0.0.4,101.6,81.9
180800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180800,UAV_01,RELAY,UAV,-1334660.3,5327277.6,3233570.9,10.0.0.2,142.9,81.9
180800,UAV_02,RELAY,UAV,-1336181.9,5326783.4,3233755.8,10.0.0.3,356.0,81.9
180800,UAV_03,RELAY,UAV,-1334638.5,5328276.9,3231944.6,10.0.0.4,101.6,81.9
180900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
180900,UAV_01,RELAY,UAV,-1334661.3,5327278.0,3233569.9,10.0.0.2,142.9,81.9
180900,UAV_02,RELAY,UAV,-1336181.7,5326782.7,3233757.1,10.0.0.3,356.0,81.9
180900,UAV_03,RELAY,UAV,-1334640.0,5328276.7,3231944.4,10.0.0.4,101.6,81.9
181000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181000,UAV_01,RELAY,UAV,-1334662.4,5327278.4,3233568.9,10.0.0.2,141.5,81.9
181000,UAV_02,RELAY,UAV,-1336181.4,5326782.0,3233758.4,10.0.0.3,356.0,81.9
181000,UAV_03,RELAY,UAV,-1334641.5,5328276.5,3231944.1,10.0.0.4,101.6,81.9
181100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181100,UAV_01,RELAY,UAV,-1334663.4,5327278.7,3233567.9,10.0.0.2,141.5,81.9
181100,UAV_02,RELAY,UAV,-1336181.1,5326781.2,3233759.7,10.0.0.3,356.0,81.9
181100,UAV_03,RELAY,UAV,-1334642.9,5328276.3,3231943.9,10.0.0.4,101.6,81.9
181200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181200,UAV_01,RELAY,UAV,-1334664.5,5327279.1,3233566.8,10.0.0.2,141.5,81.9
181200,UAV_02,RELAY,UAV,-1336180.8,5326780.5,3233760.9,10.0.0.3,356.0,81.9
181200,UAV_03,RELAY,UAV,-1334644.4,5328276.1,3231943.6,10.0.0.4,101.6,81.9
181300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181300,UAV_01,RELAY,UAV,-1334665.6,5327279.4,3233565.9,10.0.0.2,140.1,81.9
181300,UAV_02,RELAY,UAV,-1336180.5,5326779.8,3233762.2,10.0.0.3,356.0,81.9
181300,UAV_03,RELAY,UAV,-1334645.8,5328275.9,3231943.3,10.0.0.4,101.6,81.9
181400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181400,UAV_01,RELAY,UAV,-1334666.6,5327279.7,3233564.9,10.0.0.2,140.1,81.9
181400,UAV_02,RELAY,UAV,-1336180.2,5326779.1,3233763.5,10.0.0.3,356.0,81.9
181400,UAV_03,RELAY,UAV,-1334647.3,5328275.7,3231943.1,10.0.0.4,101.6,81.9
181500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181500,UAV_01,RELAY,UAV,-1334667.7,5327280.1,3233563.9,10.0.0.2,140.1,81.8
181500,UAV_02,RELAY,UAV,-1336179.9,5326778.4,3233764.8,10.0.0.3,356.0,81.8
181500,UAV_03,RELAY,UAV,-1334648.8,5328275.5,3231942.8,10.0.0.4,101.6,81.8
181600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181600,UAV_01,RELAY,UAV,-1334668.8,5327280.4,3233562.9,10.0.0.2,138.7,81.8
181600,UAV_02,RELAY,UAV,-1336179.6,5326777.7,3233766.1,10.0.0.3,356.0,81.8
181600,UAV_03,RELAY,UAV,-1334650.2,5328275.2,3231942.6,10.0.0.4,101.6,81.8
181700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181700,UAV_01,RELAY,UAV,-1334669.9,5327280.7,3233561.9,10.0.0.2,138.7,81.8
181700,UAV_02,RELAY,UAV,-1336179.4,5326777.0,3233767.4,10.0.0.3,356.0,81.8
181700,UAV_03,RELAY,UAV,-1334651.7,5328275.0,3231942.3,10.0.0.4,101.6,81.8
181800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181800,UAV_01,RELAY,UAV,-1334671.0,5327281.0,3233561.0,10.0.0.2,138.7,81.8
181800,UAV_02,RELAY,UAV,-1336179.1,5326776.2,3233768.7,10.0.0.3,356.0,81.8
181800,UAV_03,RELAY,UAV,-1334653.2,5328274.8,3231942.0,10.0.0.4,101.6,81.8
181900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
181900,UAV_01,RELAY,UAV,-1334672.1,5327281.3,3233560.0,10.0.0.2,137.3,81.8
181900,UAV_02,RELAY,UAV,-1336178.8,5326775.5,3233770.0,10.0.0.3,356.0,81.8
181900,UAV_03,RELAY,UAV,-1334654.6,5328274.6,3231941.8,10.0.0.4,101.6,81.8
182000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182000,UAV_01,RELAY,UAV,-1334673.2,5327281.6,3233559.1,10.0.0.2,137.3,81.8
182000,UAV_02,RELAY,UAV,-1336178.5,5326774.8,3233771.2,10.0.0.3,356.0,81.8
182000,UAV_03,RELAY,UAV,-1334656.1,5328274.4,3231941.5,10.0.0.4,101.6,81.8
182100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182100,UAV_01,RELAY,UAV,-1334674.4,5327281.9,3233558.1,10.0.0.2,137.3,81.8
182100,UAV_02,RELAY,UAV,-1336178.2,5326774.1,3233772.5,10.0.0.3,356.0,81.8
182100,UAV_03,RELAY,UAV,-1334657.5,5328274.2,3231941.3,10.0.0.4,101.6,81.8
182200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182200,UAV_01,RELAY,UAV,-1334675.5,5327282.2,3233557.2,10.0.0.2,136.0,81.8
182200,UAV_02,RELAY,UAV,-1336177.9,5326773.4,3233773.8,10.0.0.3,356.0,81.8
182200,UAV_03,RELAY,UAV,-1334659.0,5328274.0,3231941.0,10.0.0.4,101.6,81.8
182300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182300,UAV_01,RELAY,UAV,-1334676.7,5327282.5,3233556.3,10.0.0.2,136.0,81.8
182300,UAV_02,RELAY,UAV,-1336177.6,5326772.7,3233775.1,10.0.0.3,356.0,81.8
182300,UAV_03,RELAY,UAV,-1334660.5,5328273.8,3231940.7,10.0.0.4,101.6,81.8
182400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182400,UAV_01,RELAY,UAV,-1334677.8,5327282.8,3233555.3,10.0.0.2,134.6,81.8
182400,UAV_02,RELAY,UAV,-1336177.4,5326771.9,3233776.4,10.0.0.3,356.0,81.8
182400,UAV_03,RELAY,UAV,-1334661.9,5328273.6,3231940.5,10.0.0.4,101.6,81.8
182500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182500,UAV_01,RELAY,UAV,-1334679.0,5327283.0,3233554.4,10.0.0.2,134.6,81.8
182500,UAV_02,RELAY,UAV,-1336177.1,5326771.2,3233777.7,10.0.0.3,356.0,81.8
182500,UAV_03,RELAY,UAV,-1334663.4,5328273.4,3231940.2,10.0.0.4,101.6,81.8
182600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182600,UAV_01,RELAY,UAV,-1334680.1,5327283.3,3233553.5,10.0.0.2,134.6,81.7
182600,UAV_02,RELAY,UAV,-1336176.8,5326770.5,3233779.0,10.0.0.3,356.0,81.7
182600,UAV_03,RELAY,UAV,-1334664.9,5328273.2,3231940.0,10.0.0.4,101.6,81.7
182700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182700,UAV_01,RELAY,UAV,-1334681.3,5327283.6,3233552.6,10.0.0.2,133.2,81.7
182700,UAV_02,RELAY,UAV,-1336176.5,5326769.8,3233780.3,10.0.0.3,356.0,81.7
182700,UAV_03,RELAY,UAV,-1334666.3,5328272.9,3231939.7,10.0.0.4,100.2,81.7
182800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182800,UAV_01,RELAY,UAV,-1334682.5,5327283.8,3233551.7,10.0.0.2,133.2,81.7
182800,UAV_02,RELAY,UAV,-1336176.2,5326769.1,3233781.5,10.0.0.3,354.6,81.7
182800,UAV_03,RELAY,UAV,-1334667.8,5328272.7,3231939.5,10.0.0.4,100.2,81.7
182900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
182900,UAV_01,RELAY,UAV,-1334683.7,5327284.0,3233550.8,10.0.0.2,133.2,81.7
182900,UAV_02,RELAY,UAV,-1336175.8,5326768.4,3233782.8,10.0.0.3,354.6,81.7
182900,UAV_03,RELAY,UAV,-1334669.3,5328272.5,3231939.3,10.0.0.4,100.2,81.7
183000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183000,UAV_01,RELAY,UAV,-1334684.9,5327284.3,3233550.0,10.0.0.2,131.8,81.7
183000,UAV_02,RELAY,UAV,-1336175.5,5326767.7,3233784.1,10.0.0.3,354.6,81.7
183000,UAV_03,RELAY,UAV,-1334670.7,5328272.3,3231939.0,10.0.0.4,100.2,81.7
183100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183100,UAV_01,RELAY,UAV,-1334686.1,5327284.5,3233549.1,10.0.0.2,131.8,81.7
183100,UAV_02,RELAY,UAV,-1336175.2,5326767.0,3233785.4,10.0.0.3,354.6,81.7
183100,UAV_03,RELAY,UAV,-1334672.2,5328272.0,3231938.8,10.0.0.4,100.2,81.7
183200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183200,UAV_01,RELAY,UAV,-1334687.3,5327284.7,3233548.2,10.0.0.2,131.8,81.7
183200,UAV_02,RELAY,UAV,-1336174.9,5326766.3,3233786.7,10.0.0.3,354.6,81.7
183200,UAV_03,RELAY,UAV,-1334673.6,5328271.8,3231938.6,10.0.0.4,100.2,81.7
183300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183300,UAV_01,RELAY,UAV,-1334688.5,5327284.9,3233547.4,10.0.0.2,130.5,81.7
183300,UAV_02,RELAY,UAV,-1336174.6,5326765.6,3233788.0,10.0.0.3,354.6,81.7
183300,UAV_03,RELAY,UAV,-1334675.1,5328271.6,3231938.4,10.0.0.4,100.2,81.7
183400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183400,UAV_01,RELAY,UAV,-1334689.7,5327285.2,3233546.5,10.0.0.2,130.5,81.7
183400,UAV_02,RELAY,UAV,-1336174.2,5326764.9,3233789.2,10.0.0.3,354.6,81.7
183400,UAV_03,RELAY,UAV,-1334676.6,5328271.4,3231938.1,10.0.0.4,100.2,81.7
183500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183500,UAV_01,RELAY,UAV,-1334690.9,5327285.4,3233545.7,10.0.0.2,130.5,81.7
183500,UAV_02,RELAY,UAV,-1336173.9,5326764.2,3233790.5,10.0.0.3,354.6,81.7
183500,UAV_03,RELAY,UAV,-1334678.0,5328271.1,3231937.9,10.0.0.4,100.2,81.7
183600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183600,UAV_01,RELAY,UAV,-1334692.2,5327285.6,3233544.9,10.0.0.2,129.1,81.6
183600,UAV_02,RELAY,UAV,-1336173.6,5326763.5,3233791.8,10.0.0.3,354.6,81.6
183600,UAV_03,RELAY,UAV,-1334679.5,5328270.9,3231937.7,10.0.0.4,100.2,81.6
183700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183700,UAV_01,RELAY,UAV,-1334693.4,5327285.7,3233544.1,10.0.0.2,129.1,81.6
183700,UAV_02,RELAY,UAV,-1336173.3,5326762.8,3233793.1,10.0.0.3,354.6,81.6
183700,UAV_03,RELAY,UAV,-1334681.0,5328270.7,3231937.4,10.0.0.4,100.2,81.6
183800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183800,UAV_01,RELAY,UAV,-1334694.7,5327285.9,3233543.2,10.0.0.2,129.1,81.6
183800,UAV_02,RELAY,UAV,-1336173.0,5326762.1,3233794.4,10.0.0.3,354.6,81.6
183800,UAV_03,RELAY,UAV,-1334682.4,5328270.4,3231937.2,10.0.0.4,100.2,81.6
183900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
183900,UAV_01,RELAY,UAV,-1334695.9,5327286.1,3233542.4,10.0.0.2,129.1,81.6
183900,UAV_02,RELAY,UAV,-1336172.6,5326761.4,3233795.7,10.0.0.3,354.6,81.6
183900,UAV_03,RELAY,UAV,-1334683.9,5328270.2,3231937.0,10.0.0.4,100.2,81.6
184000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184000,UAV_01,RELAY,UAV,-1334697.2,5327286.3,3233541.6,10.0.0.2,127.7,81.6
184000,UAV_02,RELAY,UAV,-1336172.3,5326760.6,3233797.0,10.0.0.3,354.6,81.6
184000,UAV_03,RELAY,UAV,-1334685.4,5328270.0,3231936.8,10.0.0.4,100.2,81.6
184100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184100,UAV_01,RELAY,UAV,-1334698.4,5327286.4,3233540.9,10.0.0.2,127.7,81.6
184100,UAV_02,RELAY,UAV,-1336172.0,5326759.9,3233798.2,10.0.0.3,354.6,81.6
184100,UAV_03,RELAY,UAV,-1334686.8,5328269.8,3231936.5,10.0.0.4,100.2,81.6
184200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184200,UAV_01,RELAY,UAV,-1334699.7,5327286.6,3233540.1,10.0.0.2,127.7,81.6
184200,UAV_02,RELAY,UAV,-1336171.7,5326759.2,3233799.5,10.0.0.3,354.6,81.6
184200,UAV_03,RELAY,UAV,-1334688.3,5328269.5,3231936.3,10.0.0.4,100.2,81.6
184300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184300,UAV_01,RELAY,UAV,-1334701.0,5327286.8,3233539.3,10.0.0.2,126.3,81.6
184300,UAV_02,RELAY,UAV,-1336171.3,5326758.5,3233800.8,10.0.0.3,354.6,81.6
184300,UAV_03,RELAY,UAV,-1334689.8,5328269.3,3231936.1,10.0.0.4,100.2,81.6
184400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184400,UAV_01,RELAY,UAV,-1334702.3,5327286.9,3233538.5,10.0.0.2,126.3,81.6
184400,UAV_02,RELAY,UAV,-1336171.0,5326757.8,3233802.1,10.0.0.3,354.6,81.6
184400,UAV_03,RELAY,UAV,-1334691.2,5328269.1,3231935.8,10.0.0.4,100.2,81.6
184500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184500,UAV_01,RELAY,UAV,-1334703.6,5327287.0,3233537.8,10.0.0.2,126.3,81.5
184500,UAV_02,RELAY,UAV,-1336170.7,5326757.1,3233803.4,10.0.0.3,354.6,81.5
184500,UAV_03,RELAY,UAV,-1334692.7,5328268.9,3231935.6,10.0.0.4,100.2,81.5
184600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184600,UAV_01,RELAY,UAV,-1334704.9,5327287.2,3233537.0,10.0.0.2,125.0,81.5
184600,UAV_02,RELAY,UAV,-1336170.4,5326756.4,3233804.7,10.0.0.3,354.6,81.5
184600,UAV_03,RELAY,UAV,-1334694.2,5328268.6,3231935.4,10.0.0.4,100.2,81.5
184700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184700,UAV_01,RELAY,UAV,-1334706.2,5327287.3,3233536.3,10.0.0.2,125.0,81.5
184700,UAV_02,RELAY,UAV,-1336170.1,5326755.7,3233805.9,10.0.0.3,354.6,81.5
184700,UAV_03,RELAY,UAV,-1334695.6,5328268.4,3231935.2,10.0.0.4,100.2,81.5
184800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184800,UAV_01,RELAY,UAV,-1334707.5,5327287.4,3233535.5,10.0.0.2,125.0,81.5
184800,UAV_02,RELAY,UAV,-1336169.7,5326755.0,3233807.2,10.0.0.3,354.6,81.5
184800,UAV_03,RELAY,UAV,-1334697.1,5328268.2,3231934.9,10.0.0.4,100.2,81.5
184900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
184900,UAV_01,RELAY,UAV,-1334708.8,5327287.5,3233534.8,10.0.0.2,123.6,81.5
184900,UAV_02,RELAY,UAV,-1336169.4,5326754.3,3233808.5,10.0.0.3,354.6,81.5
184900,UAV_03,RELAY,UAV,-1334698.6,5328267.9,3231934.7,10.0.0.4,100.2,81.5
185000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
185000,UAV_01,RELAY,UAV,-1334710.1,5327287.6,3233534.1,10.0.0.2,123.6,81.5
185000,UAV_02,RELAY,UAV,-1336169.1,5326753.6,3233809.8,10.0.0.3,354.6,81.5
185000,UAV_03,RELAY,UAV,-1334700.0,5328267.7,3231934.5,10.0.0.4,100.2,81.5
185100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
185100,UAV_01,RELAY,UAV,-1334711.4,5327287.7,3233533.4,10.0.0.2,123.6,81.5
185100,UAV_02,RELAY,UAV,-1336168.8,5326752.9,3233811.1,10.0.0.3,353.2,81.5
185100,UAV_03,RELAY,UAV,-1334701.5,5328267.5,3231934.2,10.0.0.4,100.2,81.5
185200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
185200,UAV_01,RELAY,UAV,-1334712.7,5327287.8,3233532.7,10.0.0.2,122.2,81.5
185200,UAV_02,RELAY,UAV,-1336168.4,5326752.2,3233812.4,10.0.0.3,353.2,81.5
185200,UAV_03,RELAY,UAV,-1334702.9,5328267.3,3231934.0,10.0.0.4,100.2,81.5
185300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
185300,UAV_01,RELAY,UAV,-1334714.1,5327287.9,3233532.0,10.0.0.2,122.2,81.5
185300,UAV_02,RELAY,UAV,-1336168.0,5326751.5,3233813.6,10.0.0.3,353.2,81.5
185300,UAV_03,RELAY,UAV,-1334704.4,5328267.0,3231933.8,10.0.0.4,100.2,81.5
