time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
360000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360000,UAV_01,RELAY,UAV,-1334533.4,5327257.9,3233655.2,10.0.0.2,177.5,64.0
360000,UAV_02,RELAY,UAV,-1334145.4,5326616.3,3234864.2,10.0.0.3,251.5,64.0
360000,UAV_03,RELAY,UAV,-1336685.9,5327190.8,3232882.5,10.0.0.4,27.3,64.0
360100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360100,UAV_01,RELAY,UAV,-1334533.6,5327258.6,3233653.9,10.0.0.2,176.1,64.0
360100,UAV_02,RELAY,UAV,-1334144.0,5326616.9,3234863.8,10.0.0.3,251.5,64.0
360100,UAV_03,RELAY,UAV,-1336686.4,5327190.0,3232883.6,10.0.0.4,26.0,64.0
360200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360200,UAV_01,RELAY,UAV,-1334533.9,5327259.4,3233652.6,10.0.0.2,176.1,64.0
360200,UAV_02,RELAY,UAV,-1334142.7,5326617.5,3234863.4,10.0.0.3,251.5,64.0
360200,UAV_03,RELAY,UAV,-1336686.9,5327189.2,3232884.8,10.0.0.4,26.0,64.0
360300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360300,UAV_01,RELAY,UAV,-1334534.2,5327260.1,3233651.3,10.0.0.2,176.1,64.0
360300,UAV_02,RELAY,UAV,-1334141.4,5326618.1,3234863.0,10.0.0.3,251.5,64.0
360300,UAV_03,RELAY,UAV,-1336687.4,5327188.3,3232885.9,10.0.0.4,26.0,64.0
360400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360400,UAV_01,RELAY,UAV,-1334534.5,5327260.8,3233650.1,10.0.0.2,176.1,64.0
360400,UAV_02,RELAY,UAV,-1334140.1,5326618.7,3234862.6,10.0.0.3,251.5,64.0
360400,UAV_03,RELAY,UAV,-1336687.8,5327187.5,3232887.1,10.0.0.4,26.0,64.0
360500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360500,UAV_01,RELAY,UAV,-1334534.8,5327261.5,3233648.8,10.0.0.2,176.1,63.9
360500,UAV_02,RELAY,UAV,-1334138.8,5326619.2,3234862.1,10.0.0.3,250.1,63.9
360500,UAV_03,RELAY,UAV,-1336688.3,5327186.7,3232888.3,10.0.0.4,26.0,63.9
360600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360600,UAV_01,RELAY,UAV,-1334535.1,5327262.2,3233647.5,10.0.0.2,174.7,63.9
360600,UAV_02,RELAY,UAV,-1334137.5,5326619.8,3234861.7,10.0.0.3,250.1,63.9
360600,UAV_03,RELAY,UAV,-1336688.8,5327185.8,3232889.4,10.0.0.4,26.0,63.9
360700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360700,UAV_01,RELAY,UAV,-1334535.4,5327262.9,3233646.2,10.0.0.2,174.7,63.9
360700,UAV_02,RELAY,UAV,-1334136.2,5326620.4,3234861.2,10.0.0.3,250.1,63.9
360700,UAV_03,RELAY,UAV,-1336689.2,5327185.0,3232890.6,10.0.0.4,26.0,63.9
360800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360800,UAV_01,RELAY,UAV,-1334535.7,5327263.6,3233644.9,10.0.0.2,174.7,63.9
360800,UAV_02,RELAY,UAV,-1334134.9,5326621.0,3234860.8,10.0.0.3,250.1,63.9
360800,UAV_03,RELAY,UAV,-1336689.7,5327184.2,3232891.7,10.0.0.4,26.0,63.9
360900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
360900,UAV_01,RELAY,UAV,-1334536.1,5327264.3,3233643.6,10.0.0.2,174.7,63.9
360900,UAV_02,RELAY,UAV,-1334133.6,5326621.6,3234860.4,10.0.0.3,250.1,63.9
360900,UAV_03,RELAY,UAV,-1336690.2,5327183.4,3232892.9,10.0.0.4,26.0,63.9
361000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
361000,UAV_01,RELAY,UAV,-1334536.4,5327265.0,3233642.3,10.0.0.2,173.3,63.9
361000,UAV_02,RELAY,UAV,-1334132.3,5326622.2,3234859.9,10.0.0.3,250.1,63.9
361000,UAV_03,RELAY,UAV,-1336690.7,5327182.5,3232894.1,10.0.0.4,26.0,63.9
361100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
361100,UAV_01,RELAY,UAV,-1334536.8,5327265.7,3233641.1,10.0.0.2,173.3,63.9
361100,UAV_02,RELAY,UAV,-1334131.0,5326622.8,3234859.5,10.0.0.3,250.1,63.9
361100,UAV_03,RELAY,UAV,-1336691.1,5327181.7,3232895.2,10.0.0.4,26.0,63.9
361200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
361200,UAV_01,RELAY,UAV,-1334537.1,5327266.4,3233639.8,10.0.0.2,173.3,63.9
361200,UAV_02,RELAY,UAV,-1334129.6,5326623.4,3234859.0,10.0.0.3,250.1,63.9
