time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
60000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
60000,UAV_01,RELAY,UAV,-1334731.5,5327241.8,3233600.4,10.0.0.2,132.5,94.0
60000,UAV_02,RELAY,UAV,-1335483.7,5327713.3,3232520.4,10.0.0.3,67.5,94.0
60000,UAV_03,RELAY,UAV,-1333149.7,5328095.1,3232852.6,10.0.0.4,152.5,94.0
60100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
60100,UAV_01,RELAY,UAV,-1334732.7,5327242.0,3233599.6,10.0.0.2,131.1,94.0
60100,UAV_02,RELAY,UAV,-1335485.0,5327712.6,3232520.9,10.0.0.3,67.5,94.0
60100,UAV_03,RELAY,UAV,-1333150.5,5328095.6,3232851.5,10.0.0.4,152.5,94.0
60200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
60200,UAV_01,RELAY,UAV,-1334733.9,5327242.2,3233598.7,10.0.0.2,129.8,94.0
60200,UAV_02,RELAY,UAV,-1335486.3,5327712.0,3232521.4,10.0.0.3,67.5,94.0
60200,UAV_03,RELAY,UAV,-1333151.3,5328096.1,3232850.3,10.0.0.4,152.5,94.0
60300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
60300,UAV_01,RELAY,UAV,-1334735.1,5327242.4,3233597.9,10.0.0.2,129.8,94.0
60300,UAV_02,RELAY,UAV,-1335487.5,5327711.4,3232521.9,10.0.0.3,67.5,94.0
60300,UAV_03,RELAY,UAV,-1333152.2,5328096.6,3232849.2,10.0.0.4,152.5,94.0
60400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
60400,UAV_01,RELAY,UAV,-1334736.4,5327242.6,3233597.1,10.0.0.2,128.4,94.0
60400,UAV_02,RELAY,UAV,-1335488.8,5327710.8,3232522.4,10.0.0.3,67.5,94.0
60400,UAV_03,RELAY,UAV,-1333153.0,5328097.1,3232848.0,10.0.0.4,152.5,94.0
60500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
60500,UAV_01,RELAY,UAV,-1334737.6,5327242.7,3233596.3,10.0.0.2,128.4,94.0
60500,UAV_02,RELAY,UAV,-1335490.1,5327710.2,3232522.9,10.0.0.3,67.5,94.0
60500,UAV_03,RELAY,UAV,-1333153.9,5328097.6,3232846.9,10.0.0.4,152.5,94.0
60600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
60600,UAV_01,RELAY,UAV,-1334738.9,5327242.9,3233595.5,10.0.0.2,127.0,93.9
