time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
420000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420000,UAV_01,RELAY,UAV,-1335046.7,5327085.9,3233726.2,10.0.0.2,349.0,58.0
420000,UAV_02,RELAY,UAV,-1333520.1,5327050.2,3234410.6,10.0.0.3,215.7,58.0
420000,UAV_03,RELAY,UAV,-1336790.4,5326709.5,3233627.2,10.0.0.4,1.2,58.0
420100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420100,UAV_01,RELAY,UAV,-1335046.3,5327085.3,3233727.4,10.0.0.2,349.0,58.0
420100,UAV_02,RELAY,UAV,-1333519.4,5327051.0,3234409.6,10.0.0.3,215.7,58.0
420100,UAV_03,RELAY,UAV,-1336790.2,5326708.8,3233628.5,10.0.0.4,1.2,58.0
420200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420200,UAV_01,RELAY,UAV,-1335045.8,5327084.6,3233728.7,10.0.0.2,347.6,58.0
420200,UAV_02,RELAY,UAV,-1333518.7,5327051.8,3234408.5,10.0.0.3,215.7,58.0
420200,UAV_03,RELAY,UAV,-1336790.1,5326708.0,3233629.8,10.0.0.4,1.2,58.0
420300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420300,UAV_01,RELAY,UAV,-1335045.3,5327084.0,3233729.9,10.0.0.2,347.6,58.0
420300,UAV_02,RELAY,UAV,-1333518.0,5327052.6,3234407.5,10.0.0.3,215.7,58.0
420300,UAV_03,RELAY,UAV,-1336789.9,5326707.3,3233631.1,10.0.0.4,1.2,58.0
420400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420400,UAV_01,RELAY,UAV,-1335044.8,5327083.3,3233731.2,10.0.0.2,347.6,58.0
420400,UAV_02,RELAY,UAV,-1333517.3,5327053.4,3234406.4,10.0.0.3,215.7,58.0
420400,UAV_03,RELAY,UAV,-1336789.8,5326706.5,3233632.4,10.0.0.4,1.2,58.0
420500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420500,UAV_01,RELAY,UAV,-1335044.3,5327082.7,3233732.5,10.0.0.2,347.6,57.9
420500,UAV_02,RELAY,UAV,-1333516.6,5327054.3,3234405.4,10.0.0.3,215.7,57.9
420500,UAV_03,RELAY,UAV,-1336789.6,5326705.8,3233633.7,10.0.0.4,1.2,57.9
420600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420600,UAV_01,RELAY,UAV,-1335043.8,5327082.0,3233733.7,10.0.0.2,346.2,57.9
420600,UAV_02,RELAY,UAV,-1333515.9,5327055.1,3234404.3,10.0.0.3,215.7,57.9
420600,UAV_03,RELAY,UAV,-1336789.5,5326705.0,3233634.9,10.0.0.4,1.2,57.9
420700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420700,UAV_01,RELAY,UAV,-1335043.3,5327081.4,3233735.0,10.0.0.2,346.2,57.9
420700,UAV_02,RELAY,UAV,-1333515.2,5327055.9,3234403.3,10.0.0.3,215.7,57.9
420700,UAV_03,RELAY,UAV,-1336789.3,5326704.3,3233636.2,10.0.0.4,1.2,57.9
420800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420800,UAV_01,RELAY,UAV,-1335042.8,5327080.8,3233736.2,10.0.0.2,346.2,57.9
420800,UAV_02,RELAY,UAV,-1333514.5,5327056.7,3234402.2,10.0.0.3,215.7,57.9
420800,UAV_03,RELAY,UAV,-1336789.1,5326703.5,3233637.5,10.0.0.4,1.2,57.9
420900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
420900,UAV_01,RELAY,UAV,-1335042.2,5327080.1,3233737.5,10.0.0.2,346.2,57.9
420900,UAV_02,RELAY,UAV,-1333513.8,5327057.5,3234401.2,10.0.0.3,215.7,57.9
420900,UAV_03,RELAY,UAV,-1336789.0,5326702.8,3233638.8,10.0.0.4,1.2,57.9
421000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421000,UAV_01,RELAY,UAV,-1335041.7,5327079.5,3233738.7,10.0.0.2,346.2,57.9
421000,UAV_02,RELAY,UAV,-1333513.1,5327058.3,3234400.1,10.0.0.3,215.7,57.9
421000,UAV_03,RELAY,UAV,-1336788.8,5326702.0,3233640.1,10.0.0.4,1.2,57.9
421100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421100,UAV_01,RELAY,UAV,-1335041.1,5327078.9,3233740.0,10.0.0.2,344.8,57.9
421100,UAV_02,RELAY,UAV,-1333512.4,5327059.2,3234399.1,10.0.0.3,215.7,57.9
421100,UAV_03,RELAY,UAV,-1336788.7,5326701.3,3233641.4,10.0.0.4,1.2,57.9
421200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421200,UAV_01,RELAY,UAV,-1335040.6,5327078.3,3233741.2,10.0.0.2,344.8,57.9
421200,UAV_02,RELAY,UAV,-1333511.7,5327060.0,3234398.0,10.0.0.3,215.7,57.9
421200,UAV_03,RELAY,UAV,-1336788.5,5326700.5,3233642.7,10.0.0.4,1.2,57.9
421300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421300,UAV_01,RELAY,UAV,-1335040.0,5327077.6,3233742.5,10.0.0.2,344.8,57.9
421300,UAV_02,RELAY,UAV,-1333511.0,5327060.8,3234397.0,10.0.0.3,215.7,57.9
421300,UAV_03,RELAY,UAV,-1336788.4,5326699.8,3233644.0,10.0.0.4,1.2,57.9
421400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421400,UAV_01,RELAY,UAV,-1335039.5,5327077.0,3233743.7,10.0.0.2,344.8,57.9
421400,UAV_02,RELAY,UAV,-1333510.3,5327061.6,3234395.9,10.0.0.3,215.7,57.9
421400,UAV_03,RELAY,UAV,-1336788.2,5326699.0,3233645.3,10.0.0.4,1.2,57.9
421500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421500,UAV_01,RELAY,UAV,-1335038.9,5327076.4,3233745.0,10.0.0.2,343.4,57.8
421500,UAV_02,RELAY,UAV,-1333509.6,5327062.4,3234394.9,10.0.0.3,215.7,57.8
421500,UAV_03,RELAY,UAV,-1336788.1,5326698.3,3233646.6,10.0.0.4,1.2,57.8
421600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421600,UAV_01,RELAY,UAV,-1335038.3,5327075.8,3233746.2,10.0.0.2,343.4,57.8
421600,UAV_02,RELAY,UAV,-1333508.9,5327063.2,3234393.8,10.0.0.3,214.4,57.8
421600,UAV_03,RELAY,UAV,-1336787.9,5326697.5,3233647.8,10.0.0.4,1.2,57.8
421700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421700,UAV_01,RELAY,UAV,-1335037.7,5327075.2,3233747.4,10.0.0.2,343.4,57.8
421700,UAV_02,RELAY,UAV,-1333508.3,5327064.0,3234392.8,10.0.0.3,214.4,57.8
421700,UAV_03,RELAY,UAV,-1336787.8,5326696.8,3233649.1,10.0.0.4,1.2,57.8
421800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421800,UAV_01,RELAY,UAV,-1335037.1,5327074.6,3233748.7,10.0.0.2,343.4,57.8
421800,UAV_02,RELAY,UAV,-1333507.6,5327064.9,3234391.7,10.0.0.3,214.4,57.8
421800,UAV_03,RELAY,UAV,-1336787.6,5326696.0,3233650.4,10.0.0.4,1.2,57.8
421900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
421900,UAV_01,RELAY,UAV,-1335036.5,5327074.0,3233749.9,10.0.0.2,343.4,57.8
421900,UAV_02,RELAY,UAV,-1333506.9,5327065.7,3234390.6,10.0.0.3,214.4,57.8
421900,UAV_03,RELAY,UAV,-1336787.4,5326695.3,3233651.7,10.0.0.4,1.2,57.8
422000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422000,UAV_01,RELAY,UAV,-1335035.9,5327073.4,3233751.1,10.0.0.2,342.1,57.8
422000,UAV_02,RELAY,UAV,-1333506.3,5327066.5,3234389.6,10.0.0.3,214.4,57.8
422000,UAV_03,RELAY,UAV,-1336787.3,5326694.5,3233653.0,10.0.0.4,1.2,57.8
422100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422100,UAV_01,RELAY,UAV,-1335035.3,5327072.8,3233752.4,10.0.0.2,342.1,57.8
422100,UAV_02,RELAY,UAV,-1333505.6,5327067.3,3234388.5,10.0.0.3,214.4,57.8
422100,UAV_03,RELAY,UAV,-1336787.1,5326693.8,3233654.3,10.0.0.4,1.2,57.8
422200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422200,UAV_01,RELAY,UAV,-1335034.7,5327072.2,3233753.6,10.0.0.2,342.1,57.8
422200,UAV_02,RELAY,UAV,-1333504.9,5327068.1,3234387.4,10.0.0.3,214.4,57.8
422200,UAV_03,RELAY,UAV,-1336787.0,5326693.0,3233655.6,10.0.0.4,1.2,57.8
422300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422300,UAV_01,RELAY,UAV,-1335034.0,5327071.6,3233754.8,10.0.0.2,342.1,57.8
422300,UAV_02,RELAY,UAV,-1333504.3,5327069.0,3234386.4,10.0.0.3,214.4,57.8
422300,UAV_03,RELAY,UAV,-1336786.8,5326692.3,3233656.9,10.0.0.4,1.2,57.8
422400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422400,UAV_01,RELAY,UAV,-1335033.4,5327071.0,3233756.1,10.0.0.2,340.7,57.8
422400,UAV_02,RELAY,UAV,-1333503.6,5327069.8,3234385.3,10.0.0.3,214.4,57.8
422400,UAV_03,RELAY,UAV,-1336786.7,5326691.5,3233658.2,10.0.0.4,1.2,57.8
422500,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422500,UAV_01,RELAY,UAV,-1335032.8,5327070.4,3233757.3,10.0.0.2,340.7,57.8
422500,UAV_02,RELAY,UAV,-1333502.9,5327070.6,3234384.2,10.0.0.3,214.4,57.8
422500,UAV_03,RELAY,UAV,-1336786.5,5326690.8,3233659.5,10.0.0.4,1.2,57.8
422600,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422600,UAV_01,RELAY,UAV,-1335032.1,5327069.8,3233758.5,10.0.0.2,340.7,57.7
422600,UAV_02,RELAY,UAV,-1333502.3,5327071.4,3234383.2,10.0.0.3,214.4,57.7
422600,UAV_03,RELAY,UAV,-1336786.4,5326690.0,3233660.7,10.0.0.4,1.2,57.7
422700,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422700,UAV_01,RELAY,UAV,-1335031.4,5327069.3,3233759.7,10.0.0.2,340.7,57.7
422700,UAV_02,RELAY,UAV,-1333501.6,5327072.2,3234382.1,10.0.0.3,214.4,57.7
422700,UAV_03,RELAY,UAV,-1336786.2,5326689.3,3233662.0,10.0.0.4,1.2,57.7
422800,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422800,UAV_01,RELAY,UAV,-1335030.8,5327068.7,3233760.9,10.0.0.2,340.7,57.7
422800,UAV_02,RELAY,UAV,-1333500.9,5327073.0,3234381.0,10.0.0.3,214.4,57.7
422800,UAV_03,RELAY,UAV,-1336786.0,5326688.5,3233663.3,10.0.0.4,359.8,57.7
422900,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
422900,UAV_01,RELAY,UAV,-1335030.1,5327068.1,3233762.1,10.0.0.2,339.3,57.7
422900,UAV_02,RELAY,UAV,-1333500.3,5327073.9,3234380.0,10.0.0.3,214.4,57.7
422900,UAV_03,RELAY,UAV,-1336785.8,5326687.8,3233664.6,10.0.0.4,359.8,57.7
423000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
423000,UAV_01,RELAY,UAV,-1335029.4,5327067.5,3233763.3,10.0.0.2,339.3,57.7
423000,UAV_02,RELAY,UAV,-1333499.6,5327074.7,3234378.9,10.0.0.3,214.4,57.7
423000,UAV_03,RELAY,UAV,-1336785.6,5326687.1,3233665.9,10.0.0.4,359.8,57.7
423100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
423100,UAV_01,RELAY,UAV,-1335028.7,5327067.0,3233764.5,10.0.0.2,339.3,57.7
423100,UAV_02,RELAY,UAV,-1333498.9,5327075.5,3234377.9,10.0.0.3,214.4,57.7
